X	Y
4,57821922	7,350558991
4,22545291	6,968530403
5,822412509	4,906805854
4,610837117	6,854998638
6,540287602	6,04663594
5,392062702	8,070855818
6,461022314	4,908943338
3,990423304	8,343909504
4,614496761	8,078243656
5,811795759	6,178858223
5,653237392	7,631670491
4,221999779	8,367264192
5,225870576	8,114918675
6,071902248	4,414387513
4,277483909	7,219396926
5,691727306	4,785296733
4,490957571	8,349977809
7,025298796	4,580126692
6,103537827	4,240858533
6,68519622	4,019869285
5,304617518	9,061183896
6,703237421	4,154504065
5,590924042	5,492677497
5,428682555	4,9642793
5,427527095	5,128155763
6,485162682	4,576019773
5,2057783	8,424039654
4,361997829	8,777420998
4,950181166	8,464813574
4,048438024	7,31022868
6,195590823	5,507005794
5,591329086	7,017226817
6,826099182	4,267452618
6,578261821	5,058311103
6,697051993	3,943841373
4,669004873	8,618344431
6,691842275	4,393564868
4,95314035	7,745491057
5,700624657	7,991454663
6,524647431	4,509063206
4,907918903	7,081187424
4,454788503	8,888226503
6,589543252	5,786427281
7,122264395	4,997419641
4,083560211	7,693174049
5,088403954	7,95916253
6,621281273	4,685743081
6,138439368	3,96312175
4,844095502	8,099876018
5,752472385	5,689863766
6,091527578	5,812242662
6,946182846	5,485595507
7,039298117	4,191857677
4,475078612	8,236756096
5,550218504	5,24822397
5,218585777	9,123859386
5,427625337	8,281515139
5,57035961	8,670463765
5,822299213	4,276302883
5,847583285	7,951009138
5,606199157	4,495805801
4,870564856	9,314594984
4,461468808	6,664879303
5,839450989	5,037713516
6,875950349	4,911983508
4,30471276	7,221332465
6,879437034	4,940334409
6,144169345	4,057338273
5,783797974	6,129839316
5,150428731	6,62765759
7,272201145	4,756355925
5,456623724	8,035210443
6,464998471	5,753237511
6,934610315	6,442498893
4,456860944	7,707562895
5,379992182	5,252252444
5,002457854	9,306556597
4,091833166	8,245131001
6,374596154	6,380859388
7,270679063	5,17588189
5,503275944	5,972349999
4,508713423	7,190075984
6,160587908	6,277593215
5,276669462	7,122901131
4,691650949	8,104579747
4,248348479	7,718530882
5,048809834	7,088579491
4,230477411	7,087288423
7,020572784	6,035899919
6,536387359	4,859205235
7,143944794	5,976611491
5,013469162	7,722694063
4,90402769	7,624649189
4,437614734	7,352838616
5,39564596	8,100287686
6,364407151	4,299414643
5,715828117	7,820255638
5,726955739	5,390910229
6,470270504	5,748105178
5,245940718	8,797090694
